Naam;Omschrijving;Kode;URL;EC;BoekVerplicht;Lesuren;Video;Slides;Allen;BDAM;FICT;SE;IAT;GI-BE;GI-AN;GI-AD;GI-ON;GI-RE;BP-BE;BP-AN;BP-AD;BP-ON;BP-RE;IS-BE;IS-AN;IS-AD;IS-ON;IS-RE;SW-BE;SW-AN;SW-AD;SW-ON;SW-RE;HI-BE;HI-AN;HI-AD;HI-ON;HI-RE;aantal1;aantal2;aantal3;level;S-GI-BE;S-GI-AN;S-GI-AD;S-GI-ON;S-GI-RE;S-BP-BE;S-BP-AN;S-BP-AD;S-BP-ON;S-BP-RE;S-IS-BE;S-IS-AN;S-IS-AD;S-IS-ON;S-IS-RE;S-SW-BE;S-SW-AN;S-SW-AD;S-SW-ON;S-SW-RE;S-HI-BE;S-HI-AN;S-HI-AD;S-HI-ON;S-HI-RE
ikfict;Keuzemodule FICT;b4f1a3m;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikfict-keuzemodule-fict/SitePages/Home.aspx;3;J;;;;K;;;;;;;;;;1;1;1;;;;2;1;;;2;2;1;;;;;;;;5;3;0;2;;;;;;;1;1;;;;1;;;;1;1;;;;;;;;
ikfram;Frameworks;f785f01;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikfram-frameworks/SitePages/Home.aspx;3;;;MS;;K;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;0;1;0;2;;;;;;;;;;;;;;;1;;;;;;;;;;
ikgeo;Geografische data / Open Data;ju0y06v;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikgeo-geografische-informatiesystemen/SitePages/Home.aspx;3;;;;PPT;K;;;;;;;;2;2;;;;;;;;;;;;;;2;2;;;;;;0;4;0;2;;;;2;2;;;;;;;;;;;;;;2;2;;;;;
ikitil;ITIL;fo6fclp;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikitil-itil/SitePages/Home.aspx;3;J;;;;K;;;;;;;;;;2;2;1;;;1;;;;;1;;;;;;;;;;3;2;0;2;;;;;;1;1;1;;;1;;;;;1;;;;;;;;;
iklo;Logica;33rht18;https://hogeschoolleiden.sharepoint.com/sites/og1920.iklo-logica/SitePages/Home.aspx;3;;;;;K;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
ikmedt;Keuzemodule IAT;snto855;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikmedt-keuzemodule-iat/SitePages/Home.aspx;3;;;;;K;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;1;1;0;2;;;;;1;;;;;;;;;;;;;;;;;;;;
ikml;Machine Learning;mox8m2u;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikml-machine-learning/SitePages/Home.aspx;3;;;YT;PDF;K;;;;;;;;;;;;2;;;;;2;;;;;2;;;;;;;;0;3;0;2;;;;;;;;1;;;;;1;;;;;1;;;;;;;
ikpmd;Programming for Mobile Devices;whigpfi;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikpmd-programming-for-mobile-devices/SitePages/Home.aspx;3;;;;PPT;K;;;;;;1;;;;;;;;;;;;;;;;;2;;2;;;;;1;2;0;2;;;;1;;;;;;;;;;;;1;;;1;;;;;;
ikrefact;Software Refactory;k70wume;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikrefact-software-refactory/SitePages/Home.aspx;3;;;;;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ikse;Keuzemodule SE;5cz58ye;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikse-keuzemodule-se/SitePages/Home.aspx;3;;;;;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iksnorg;Sociale netwerken in organisaties;abygxoq;https://hogeschoolleiden.sharepoint.com/sites/og1920.iksnorg-sociale-netwerken-in-organisaties/SitePages/Home.aspx;3;;;;;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ikue;Usability Engineering;28bb0f7;https://hogeschoolleiden.sharepoint.com/sites/og1920.ikue-usability-engineering/SitePages/Home.aspx;3;;;;;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
ilg1;Logica;2n7shci;https://hogeschoolleiden.sharepoint.com/sites/og1920.ilg1-logica/SitePages/Home.aspx;3;;;;;;;;V;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
ilnux1;Linux 1;tq13tqk;https://hogeschoolleiden.sharepoint.com/sites/og1920.ilnux1-linux-1/SitePages/Home.aspx;3;;;extern;PPT;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
