Naam;Omschrijving;Kode;URL;EC;BoekVerplicht;Lesuren;Video;Slides;Allen;BDAM;FICT;SE;IAT;GI-BE;GI-AN;GI-AD;GI-ON;GI-RE;BP-BE;BP-AN;BP-AD;BP-ON;BP-RE;IS-BE;IS-AN;IS-AD;IS-ON;IS-RE;SW-BE;SW-AN;SW-AD;SW-ON;SW-RE;HI-BE;HI-AN;HI-AD;HI-ON;HI-RE;aantal1;aantal2;aantal3;level;S-GI-BE;S-GI-AN;S-GI-AD;S-GI-ON;S-GI-RE;S-BP-BE;S-BP-AN;S-BP-AD;S-BP-ON;S-BP-RE;S-IS-BE;S-IS-AN;S-IS-AD;S-IS-ON;S-IS-RE;S-SW-BE;S-SW-AN;S-SW-AD;S-SW-ON;S-SW-RE;S-HI-BE;S-HI-AN;S-HI-AD;S-HI-ON;S-HI-RE
ipsen3;Project Software Engineering 3;spksh6q;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipsen3-project-software-engineering-3/SitePages/Home.aspx;6;;;;PPT;;;;V;;;;;;;;;;;;;;;;;1;2;2;1;2;;;;;;2;3;0;2;;;;;;;;;;;;;;;;;;1;1;2;;;;;
ipsen4;Project Software Engineering 4;6i62lvh;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipsen4-project-software-engineering-4/SitePages/Home.aspx;6;;;;;;;;V;;;;;;;;;;;;;;;;;1;2;2;2;1;;;;;;2;3;0;2;;;;;;;;;;;;;;;;1;2;2;1;1;;;;;
ipsen5;Project Software Engineering 5;sy7zz7s;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipsen5-project-software-engineering-5/SitePages/Home.aspx;6;;;;;;;;V;;;;;;;;;;;;;;;;;2;2;2;2;2;;;;;;0;5;0;2;;;;;;;;;;;;;;;;1;2;2;1;1;;;;;
ipsenh;Hoofdfaseproject Software Engineering;3oyozkm;https://hogeschoolleiden.sharepoint.com/sites/og1920.ipsenh-hoofdfaseproject-software-engineering/SitePages/Home.aspx;6;;;;;;;;V;;;;;;;;2;2;;;;;;;;3;;;3;3;;;;;;0;2;3;3;;;;;;;;;;;;;;;;2;;;2;2;;;;;
iqua;Kwalititeit in de IT;5pj3eke;https://hogeschoolleiden.sharepoint.com/sites/og1920.iqua-kwalititeit-in-de-it/SitePages/Home.aspx;3;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
irdb;Relationele databases;htv4d2h;https://hogeschoolleiden.sharepoint.com/sites/og1920.irdb-relationele-databases/SitePages/Home.aspx;3;J;;MS;PDF;V;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;2;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
irdbms;Relationele databasemanagement systemen;wml3sxt;https://hogeschoolleiden.sharepoint.com/sites/og1920.irdbms-relationele-databasemanagementsystemen/SitePages/Home.aspx;3;J;;MS;PPT;V;;;;;;;;;;;;;;;;;;;;;;1;2;1;;;;;;2;1;0;2;;;;;;;;;;;;;;;;;;;1;1;;;;;
irdm;Relationele Databases Modelleren;d0qq68p;https://hogeschoolleiden.sharepoint.com/sites/og1920.irdm-relationele-databases-modelleren/SitePages/Home.aspx;3;;;MS;PPT;;;;V;;;;;;;;;;;;;;;;;;1;2;1;2;;;;;;2;2;0;2;;;;;;;;;;;;;;;;;;1;1;2;;;;;
irob;MINOR Robotica, Domotica en Industriele Automatisering;880ody3;https://hogeschoolleiden.sharepoint.com/sites/og1920.irob-robotica-domotica-en-industriele-automatisering/SitePages/Home.aspx;30;;;;;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
isecu;IT Security;y03ifj5;https://hogeschoolleiden.sharepoint.com/sites/og1920.isecu-it-security/SitePages/Home.aspx;3;;;MS;PPT;V;;;;;;;;;;;1;;;;;2;2;1;1;;2;2;;;;;;;;3;4;0;2;;;;;;;;;;;;1;1;1;1;;;;;;;;;;
isensiot;MINOR Sensortechnologie en IoT;pag8q0d;https://hogeschoolleiden.sharepoint.com/sites/og1920.isensiot-sensortechnologie-en-iot/SitePages/Home.aspx;30;;;;;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
islh;Studieloopbaan begeleiding;w7raz6s;https://hogeschoolleiden.sharepoint.com/sites/og1920.islh-studieloopbaanbegeleiding/SitePages/Home.aspx;3;;;;PPT;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
islpr;Studieloopbaan begeleiding;jvmol8g;https://hogeschoolleiden.sharepoint.com/sites/og1920.islpr-studieloopbaanbegeleiding/SitePages/Home.aspx;1;;;MS;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
istat;Statistiek voor IT-ers;1jkcd8s;https://hogeschoolleiden.sharepoint.com/sites/og1920.istat-statistiek-voor-it-ers/SitePages/Home.aspx;3;J;;MS;PPT;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
itrapp;Taal in Rapporteren;fj59c8f;https://hogeschoolleiden.sharepoint.com/sites/og1920.itrapp-taal-in-rapporteren/SitePages/Home.aspx;3;J;;MS;PPT;K;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
itrewa;Trend Watching;7v2lkbk;https://hogeschoolleiden.sharepoint.com/sites/og1920.itrewa-trend-watching/SitePages/Home.aspx;3;J;;;;K;;;;;;2;;;;;2;;;;;;;;;;;;;;;;;;;0;2;0;2;;1;;;;;;;;;;;;;;;;;;;;;;;
itst;Testen van software;fdqln05;https://hogeschoolleiden.sharepoint.com/sites/og1920.itst-testen-van-software;3;;;;PDF;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iwder;Webdesign & Realisatie;nobxpbe;https://hogeschoolleiden.sharepoint.com/sites/og1920.iwder-webdesign-en-realisatie;3;J;;;;V;;;;;;;;1;1;;;;;;;;;;;;;;1;1;;;;;;4;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
iwis;Wiskunde voor ICT-ers;2zhg2n2;https://hogeschoolleiden.sharepoint.com/sites/og1920.iwis-wiskunde-voor-ict-ers/SitePages/Home.aspx;3;;;YT;PDF;K;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;
iwlab;AFSTUDEREN;h2trbp2;https://hogeschoolleiden.sharepoint.com/sites/og1920.iwlab-afstuderen/SitePages/Home.aspx;30;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
iwls;STAGE;980vqy2;https://hogeschoolleiden.sharepoint.com/sites/og1920.iwls-stage/SitePages/Home.aspx;30;;;;;V;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;
